Ref,Val,Package,PosX,PosY,Rot,Side
"U$1","RJ45-8Z4","TE_RJ45-8Z4",141.526100,-110.553600,-90.000000,top
"X1","2510-","PAK100_2500-10",159.306100,-109.283600,90.000000,top
"X2","","TERMINAL_2P_5MM",145.336100,-95.313600,-90.000000,top
