Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U$1,RJ45-8Z4,TE_RJ45-8Z4,141.5261,-110.5536,-90,top
X1,2510-,PAK100_2500-10,159.3061,-109.2836,90,top
X2,,TERMINAL_2P_5MM,145.3361,-95.3136,-90,top
